"Common Name","Scientific Name","Number of Records"
"wild licorice","Glycyrrhiza lepidota","34"
"narrow-leaved cattail","Typha angustifolia","34"
"ground ivy","Glechoma hederacea","34"
"petite-licorice","Plecostachys serpyllifolia","33"
"horsenettle","Solanum carolinense","33"
"triangle orach","Atriplex prostrata","33"
"Perez's sea lavender","Limonium perezii","33"
"cardoon","Cynara cardunculus ssp. flavescens","33"
"broadleaf dock","Rumex obtusifolius","33"
"Syrian beancaper","Zygophyllum fabago","33"
"Rocky Mountain iris","Iris missouriensis","33"
"hemp/marijuana (sativa)","Cannabis sativa","33"
"boneseed","Chrysanthemoides monilifera ssp. monilifera","33"
"poverty sumpweed","Iva axillaris","32"
"chain speedwell","Veronica catenata","32"
"swamp pricklegrass","Crypsis schoenoides","32"
"strawberry clover","Trifolium fragiferum","32"
"cabbage tree","Cordyline australis","32"
"Asian ponysfoot","Dichondra micrantha","32"
"crownbeard","Verbesina encelioides","32"
"bur buttercup","Ceratocephala testiculata","31"
"Oregon grape","Mahonia nervosa","31"
"white poplar","Populus alba","31"
"African rue","Peganum harmala","31"
"common crupina","Crupina vulgaris","31"
"hollyhock","Alcea rosea","31"
"common flax","Linum usitatissimum","31"
"common buckthorn, European buckthorn","Rhamnus cathartica","31"
"nodding spurge","Chamaesyce nutans","31"
"date palm","Phoenix dactylifera","31"
"smooth crabgrass","Digitaria ischaemum","31"
"wine grape","Vitis vinifera","31"
"Uruguayan vervain","Verbena montevidensis","31"
"smallseed falseflax","Camelina microcarpa","31"
"goatsrue","Galega officinalis","30"
"hedgemustard","Sisymbrium spp.","30"
"salsola","Salsola spp.","30"
"low amaranth","Amaranthus deflexus","30"
"winter vetch","Vicia villosa ssp. varia","30"
"marsh-pepper smartweed","Persicaria hydropiper","30"
"periwinkle","Vinca","30"
"elecampane","Inula helenium","29"
"goosegrass","Eleusine indica","29"
"purple African nightshade","Solanum marginatum","29"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","29"
"Siberian elm","Ulmus pumila","29"
"moss pygmyweed","Crassula tillaea","29"
"dotted duckmeat","Landoltia punctata","29"
"osage-orange","Maclura pomifera","28"
"wild parsnip","Pastinaca sativa","28"
"desert wheatgrass","Agropyron desertorum","28"
"blue flax","Linum perenne","28"
"natalgrass","Melinis repens","28"
"American burnweed","Erechtites hieraciifolius","28"
"knawel","Scleranthus annuus","28"
"roof rat","Rattus rattus","28"
"common pear","Pyrus communis","28"
"southern sandbur","Cenchrus echinatus","28"
"woolly clover","Trifolium tomentosum","28"
"yellow rocket","Barbarea vulgaris","27"
"Mediterranean rabbitsfoot grass","Polypogon maritimus","27"
"wild-proso millet","Panicum miliaceum","27"
"venus-comb","Scandix pecten-veneris","27"
"cottony cushion scale","Icerya purchasi","27"
