"Common Name","Scientific Name","Number of Records"
"large gray willow","Salix cinerea","5"
"sticky nightshade","Solanum sisymbriifolium","5"
"Taiwanese photinia","Photinia serratifolia","5"
"nimblewill","Muhlenbergia schreberi","5"
"green stink bug","Chinavia hilaris","5"
"motherwort","Leonurus cardiaca","5"
"tall thistle","Cirsium altissimum","5"
"goldenrain tree","Koelreuteria paniculata","5"
"non-native yams","Dioscorea spp. (non-native)","5"
"soft brome","Bromus hordeaceus","5"
"tawny crazy ant","Nylanderia fulva","5"
"Brazilian satintail","Imperata brasiliensis","5"
"primrose-willow","Ludwigia peruviana","5"
"mollusc-eating hammerhead worm","Bipalium vagum","5"
"poison ryegrass","Lolium temulentum","5"
"red fox","Vulpes vulpes","5"
"thymeleaf speedwell","Veronica serpyllifolia","5"
"sharppod morning-glory","Ipomoea cordatotriloba","5"
"narrow swordfern","Nephrolepis cordifolia","4"
"saltmeadow cordgrass","Spartina patens","4"
"corn cockle","Agrostemma githago","4"
"sessile joyweed","Alternanthera sessilis","4"
"Lindley's butterflybush","Buddleja lindleyana","4"
"smooth crabgrass","Digitaria ischaemum","4"
"fire ant decapitating fly","Pseudacteon litoralis","4"
"Russian thistle","Salsola kali","4"
"jointed goatgrass","Aegilops cylindrica","4"
"soft brome","Bromus hordeaceus ssp. hordeaceus","4"
"Jerusalem-cherry","Solanum pseudocapsicum","4"
"Japanese spiraea","Spiraea japonica","4"
"field thistle","Cirsium discolor","4"
"princess-feather","Persicaria orientalis","4"
"Kummerowia","Kummerowia","4"
"ladder brake","Pteris vittata","4"
"emerald ash borer","Agrilus planipennis","4"
"roughstalk bluegrass","Poa trivialis","4"
"squirreltail fescue","Vulpia bromoides","4"
"common dandelion","Taraxacum officinale ssp. officinale","4"
"Cuban bulrush","Oxycaryum cubense","4"
"pansy","Viola tricolor","4"
"tropical bushmint","Cantinoa mutabilis","4"
"daffodil","Narcissus pseudonarcissus","4"
"crownbeard","Verbesina encelioides","4"
"ragweed parthenium","Parthenium hysterophorus","4"
"wild mustard","Sinapis arvensis","4"
"field horsetail","Equisetum arvense","4"
"black mustard","Brassica nigra","4"
"pale dock","Rumex altissimus","4"
"basil downy mildew","Peronospora belbahrii","4"
"littleseed canarygrass","Phalaris minor","4"
"artilleryweed","Pilea microphylla","4"
"longfruited primrose-willow","Ludwigia octovalvis","4"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","4"
"Japanese netvein hollyfern","Cyrtomium falcatum","4"
"wine raspberry","Rubus phoenicolasius","4"
"black imported fire ant","Solenopsis richteri","4"
"deeprooted sedge","Cyperus entrerianus","4"
"puncturevine","Tribulus terrestris","3"
"false green kyllinga","Cyperus brevifolioides","3"
"tuna cactus","Opuntia ficus-indica","3"
"elephant grass","Cenchrus purpureus","3"
"nettleleaf goosefoot","Chenopodium murale","3"
"dwarf snapdragon","Chaenorhinum minus","3"
