"Common Name","Scientific Name","Number of Records"
"Orinoco sailfin catfish","Pterygoplichthys multiradiatus","32"
"white-fronted parrot","Amazona albifrons","32"
"Carolina fanwort, fanwort","Cabomba caroliniana","32"
"jimsonweed","Datura stramonium","32"
"Jack Dempsey","Rocio octofasciata","32"
"thymeleaf sandwort","Arenaria serpyllifolia","32"
"centipedegrass","Eremochloa ophiuroides","32"
"anil de pasto","Indigofera suffruticosa","32"
"wild poinsettia","Euphorbia heterophylla","32"
"Brazilian nightshade","Solanum seaforthianum","32"
"Texas horned lizard","Phrynosoma cornutum","32"
"basilisk","Basiliscus spp.","31"
"yellow bluestem","Bothriochloa ischaemum","31"
"tawny crazy ant","Nylanderia fulva","31"
"Texas potato purple top","Candidatus Phytoplasma asteris-related strain PPT4-TX","31"
"tomato spotted wilt virus (TSWV)","Tospovirus TSWV","31"
"turkeyberry","Solanum torvum","31"
"trumpetflower","Tecoma stans","31"
"dusky-headed parakeet","Aratinga weddellii","31"
"turquoise-fronted parrot","Amazona aestiva","31"
"deviltree","Alstonia macrophylla","31"
"sewer vine","Paederia cruddasiana","31"
"Diplodia tip blights","Diplodia spp.","31"
"black-tailed prairie dog","Cynomys ludovicianus","31"
"camphor scale","Pseudaonidia duplex","30"
"unidentified Amazon parrot","Amazona spp.","30"
"Fusarium wilts, blights, rots and damping-off","Fusarium spp.","30"
"iguana","Iguana spp.","30"
"guava","Psidium spp.","30"
"elegant dutchman's pipe","Aristolochia elegans","30"
"garden zachrysia","Zachrysia provisoria","29"
"coat buttons","Tridax procumbens","29"
"gold tegu","Tupinambis teguixin","29"
"orange-fronted parakeet","Eupsittula canicularis","29"
"red beadtree","Adenanthera pavonina","29"
"wild onion","Allium canadense","29"
"devil's backbone","Kalanchoe daigremontiana","29"
"chicken (feral)","Gallus gallus (feral type)","29"
"Paraguayan purslane","Portulaca amilis","28"
"common asparagus fern","Asparagus setaceus","28"
"inchplant","Tradescantia zebrina","28"
"American frogbit","Limnobium spongia","28"
"Eurasian watermilfoil","Myriophyllum spicatum","28"
"Macartney rose","Rosa bracteata","28"
"swordfern","Nephrolepis","28"
"sticky chickweed","Cerastium glomeratum","28"
"Australian almond","Terminalia muelleri","27"
"Malabar plum","Syzygium jambos","27"
"plantain","Musa x paradisiaca","27"
"spiketop applesnail","Pomacea diffusa","27"
"cerulean flaxlily","Dianella ensifolia","27"
"climbing fern","Lygodium spp.","27"
"dog's-tongue","Pseudelephantopus spicatus","26"
"sugarcane aphid","Melanaphis sacchari","26"
"pink hibiscus mealybug","Maconellicoccus hirsutus","26"
"unidentified parakeet","Aratinga spp.","26"
"ragweed parthenium","Parthenium hysterophorus","26"
"ptychosperma","Ptychosperma elegans","26"
"puncturevine","Tribulus terrestris","26"
"molassesgrass","Melinis minutiflora","26"
"little ironweed","Cyanthillium cinereum","26"
"birdsrape mustard","Brassica rapa","25"
"smooth cat's ear","Hypochaeris glabra","25"
"giant day gecko","Phelsuma madagascariensis grandis","25"
"Spanish arborvine","Merremia tuberosa","25"
"swamp morning-glory","Ipomoea aquatica","25"
"shepherd's-purse","Capsella bursa-pastoris","25"
"chanchita","Cichlasoma dimerus","24"
"tall vervain","Verbena bonariensis","24"
"rose glorybower","Clerodendrum bungei","24"
"Phyllosticta leaf spots","Phyllosticta spp.","24"
"false strawberry","Potentilla indica","24"
"tanglehead","Heteropogon contortus","24"
"John Charles","Hyptis verticillata","24"
"lygodium defoliator moth","Neomusotima conspurcatalis","24"
"lilac-crowned parrot","Amazona finschi","24"
"black locust","Robinia pseudoacacia","24"
"crimson fountaingrass","Cenchrus setaceus","24"
"cottony cushion scale","Icerya purchasi","23"
"Benghal dayflower","Commelina benghalensis","23"
"plant hopper","Megamelus scutellaris","23"
"hairy vetch","Vicia villosa","23"
"satinleaf","Chrysophyllum oliviforme","23"
"orange cup coral","Tubastraea coccinea","23"
"red tegu","Salvator rufescens","23"
"twoleaf watermilfoil","Myriophyllum heterophyllum","22"
"pin-tailed whydah","Vidua macroura","22"
"pitted morning-glory","Ipomoea lacunosa","22"
"oleander","Nerium oleander","22"
"yellow foxtail","Setaria pumila","22"
"date palm","Phoenix","22"
"roundleaf toothcup","Rotala rotundifolia","21"
"silkoak","Grevillea robusta","21"
"poison-sumac","Toxicodendron vernix","21"
"common house gecko","Hemidactylus frenatus","21"
"small hop clover","Trifolium dubium","21"
"Phytophthora blight","Phytophthora nicotianae","21"
"Helminthosporium leaf spot","Helminthosporium","21"
"crabhole mosquito","Deinocerites cancer","21"
"sourgrass","Digitaria insularis","21"
"panther chameleon","Furcifer pardalis","21"
"crimson clover","Trifolium incarnatum","21"
"common dandelion","Taraxacum officinale ssp. officinale","21"
"purplestamen mullein","Verbascum virgatum","21"
"African clawed frog","Xenopus laevis","21"
"cockatiel","Nymphicus hollandicus","21"
"banded caracol","Caracolus marginella","21"
"Jamaican nightshade","Solanum jamaicense","21"
"Russian thistle","Salsola kali ssp. pontica","21"
"mallard","Anas platyrhynchos","21"
"natal-plum","Carissa macrocarpa","20"
"Sacramento burrbark","Triumfetta semitriloba","20"
"clown knifefish","Chitala ornata","20"
"Jamaica vervain","Stachytarpheta jamaicensis","20"
"nightblooming cactus","Hylocereus undatus","20"
"rabbitfoot clover","Trifolium arvense","20"
"Javanese glorybower","Clerodendrum speciosissimum","20"
"Phytophthora root rot","Phytophthora cinnamomi","20"
