"Common Name","Scientific Name","Number of Records"
"Kummerowia","Kummerowia","22"
"sweet autumn virginsbower","Clematis terniflora","22"
"spotted lanternfly","Lycorma delicatula","22"
"garden loosestrife","Lysimachia vulgaris","22"
"oakleaf goosefoot","Chenopodium glaucum","22"
"helleborine","Epipactis helleborine","22"
"yellow starthistle","Centaurea solstitialis","22"
"Japanese pachysandra","Pachysandra terminalis","22"
"cultivated currant","Ribes rubrum","22"
"mouse-eared hawkweed","Pilosella officinarum","22"
"common valerian","Valeriana officinalis","22"
"Chinese yam","Dioscorea polystachya","21"
"nipplewort","Lapsana communis","21"
"live-forever stonecrop","Hylotelephium telephium","21"
"false spiraea","Sorbaria sorbifolia","21"
"spiny amaranth","Amaranthus spinosus","21"
"narrowleaf bittercress","Cardamine impatiens","21"
"witch's moneybags","Hylotelephium telephium ssp. telephium","21"
"birdseye pearlwort","Sagina procumbens","20"
"musk mallow","Malva moschata","20"
"prairie sunflower","Helianthus petiolaris","20"
"plumeless thistle","Carduus","20"
"beech leaf disease","Litylenchus crenatae mccannii","20"
"crimson clover","Trifolium incarnatum","20"
"European birch","Betula pendula","20"
"bulbous buttercup","Ranunculus bulbosus","20"
"European spindletree","Euonymus europaeus","19"
"yellow devil hawkweed","Hieracium x floribundum","19"
"annual honesty","Lunaria annua","19"
"common horse chestnut","Aesculus hippocastanum","19"
"cutleaf blackberry","Rubus laciniatus","19"
"European pine sawfly","Neodiprion sertifer","19"
"sorghum (type unspecified)","Sorghum bicolor","19"
"porcelain-berry","Ampelopsis glandulosa var. brevipedunculata","18"
"melon","Cucumis melo","18"
"common barberry","Berberis vulgaris","18"
"smooth hawksbeard","Crepis capillaris","18"
"common cattail","Typha latifolia","18"
"red morning-glory","Ipomoea coccinea","18"
"dwarf honeysuckle","Lonicera xylosteum","17"
"poverty brome","Bromus sterilis","17"
"common cornsalad","Valerianella locusta","17"
"largeseed falseflax","Camelina sativa","17"
"redstem stork's bill","Erodium cicutarium ssp. cicutarium","17"
"silvery cinquefoil","Potentilla argentea","17"
"clasping pepperweed","Lepidium perfoliatum","16"
"memorial rose","Rosa lucieae","16"
"rose of Sharon","Hibiscus syriacus","16"
"giant knotweed","Reynoutria sachalinensis","16"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","16"
"harlequin blueflag","Iris versicolor","16"
